id,name,region,country,category,instagram_handle,instagram_followers_estimate,gender,eyewear_affinity,lenskart_relevance,notes
1459,Sharon Cuneta,Southeast Asia,Philippines,Actor,sharoncuneta,6000000,F,medium,watch_only,
1460,Lea Salonga,Southeast Asia,Philippines,Musician,msleasalonga,3000000,F,medium,watch_only,
1461,Gary Valenciano,Southeast Asia,Philippines,Musician,,,M,medium,watch_only,
1462,Martin Nievera,Southeast Asia,Philippines,Musician,,,M,medium,watch_only,
1463,Jose Manalo,Southeast Asia,Philippines,Comedian,,,M,medium,watch_only,
1464,Ngo Thanh Van,Southeast Asia,Vietnam,Actor,ngo.thanh.van,2000000,F,medium,watch_only,
1465,Tang Thanh Ha,Southeast Asia,Vietnam,Actor,tangthanhha09,2000000,F,medium,watch_only,
1466,Truong Giang (2),Southeast Asia,Vietnam,Actor,truonggiangofficial,4000000,M,medium,watch_only,
1467,Nha Phuong,Southeast Asia,Vietnam,Actor,,,F,medium,watch_only,
1468,Kha Ngan,Southeast Asia,Vietnam,Actor,,,F,medium,watch_only,
1469,Kaity Nguyen,Southeast Asia,Vietnam,Actor,,,F,medium,watch_only,
1470,Lan Ngoc,Southeast Asia,Vietnam,Actor,l.a.n.n.g.o.c,3000000,F,medium,watch_only,
1471,Thanh Hang,Southeast Asia,Vietnam,Model,thanghangsinh10,4000000,F,medium,watch_only,
1472,Ha Ho,Southeast Asia,Vietnam,Model,,,F,medium,watch_only,
1473,Ha Tang,Southeast Asia,Vietnam,Model,hatangtrang,6000000,F,high,collab_candidate,"Fashion influencer, wears glasses"
1474,Quynh Anh Shyn,Southeast Asia,Vietnam,Influencer,quynhanhshyn,2000000,F,high,collab_candidate,Wears glasses
1475,Khanh Vy,Southeast Asia,Vietnam,Influencer,,,F,medium,watch_only,
1476,Salim (Vietnam),Southeast Asia,Vietnam,Influencer,,,F,medium,watch_only,
1477,Linh Barbie,Southeast Asia,Vietnam,Influencer,linhbarbie,2000000,F,medium,watch_only,
1478,Quang Linh Vlogs,Southeast Asia,Vietnam,YouTuber,quanglinhvlogs,4000000,M,medium,watch_only,
1479,Duy Nhi,Southeast Asia,Vietnam,Actor,,,F,medium,watch_only,
1480,Boun Noppanut,Southeast Asia,Thailand,Actor,boun.noppanut,4000000,M,medium,style_influence,Thai actor
1481,Prem Warut,Southeast Asia,Thailand,Actor,premwarut,3000000,M,medium,style_influence,Thai actor
1482,Freen Sarocha,Southeast Asia,Thailand,Actor,freensarocha,6000000,F,high,collab_candidate,Thai actress
1483,Becky Rebecca,Southeast Asia,Thailand,Actor,bex.rebecca,3000000,F,medium,style_influence,Thai actress
1484,Phuwin Tangsakyuen,Southeast Asia,Thailand,Actor,phuwin_t,5000000,M,high,collab_candidate,Thai actor
1485,Pond Naravit,Southeast Asia,Thailand,Actor,pond_naravit,2500000,M,medium,style_influence,Thai actor
1486,Mint Chalida,Southeast Asia,Thailand,Actor,mintchalida,5000000,F,high,collab_candidate,Thai actress
1487,Kim Kimberley,Southeast Asia,Thailand,Actor,kimberley.kw,7000000,F,high,collab_candidate,Thai actress
1488,Au Tammara,Southeast Asia,Thailand,Actor,,2000000,F,medium,style_influence,Thai actress
1489,Nychaa Nuttanicha,Southeast Asia,Thailand,Actor,,3000000,F,medium,style_influence,Thai actress
1490,Mile Phakphum,Southeast Asia,Thailand,Actor,mile_phakphum,8000000,M,high,collab_candidate,Thai actor Only Friends
1491,Porshe Pachara,Southeast Asia,Thailand,Actor,porshe.pachara,3000000,M,medium,style_influence,Thai actor
1492,Sea Taweetiphop,Southeast Asia,Thailand,Actor,sea_taweetiphop,2500000,M,medium,style_influence,Thai actor
1493,Joong Archen,Southeast Asia,Thailand,Actor,joong_archen,5000000,M,high,collab_candidate,Thai actor
1494,Dunk Natachat,Southeast Asia,Thailand,Actor,dunk.natachat,4000000,M,medium,style_influence,Thai actor
1495,Lisa Manoban,Southeast Asia,Thailand,K-Pop Idol,lalalalisa_m,101000000,F,high,collab_candidate,"Thai member of BLACKPINK, global icon"
1496,Slot Machine,Southeast Asia,Thailand,Musician,,500000,M,medium,watch_only,Thai rock band
1497,BNK48,Southeast Asia,Thailand,Musician,bnk48official,2000000,F,medium,style_influence,Thai idol group
1498,Bowkylion,Southeast Asia,Thailand,Musician,,1500000,F,medium,style_influence,Thai singer-songwriter
1499,Stamp,Southeast Asia,Thailand,Musician,,800000,M,medium,style_influence,Thai R&B singer
1500,Jetset'er,Southeast Asia,Thailand,Musician,,600000,M,medium,watch_only,Thai singer
1501,Milli Danupha,Southeast Asia,Thailand,Musician,milliofficial_,3500000,F,high,collab_candidate,Thai rap star
1502,Pyra,Southeast Asia,Thailand,Musician,,900000,F,medium,style_influence,Thai R&B singer
1503,Ria Yunita,Southeast Asia,Indonesia,Influencer,,3000000,F,medium,style_influence,Indonesian influencer
1504,Dian Ayu,Southeast Asia,Indonesia,Influencer,,2000000,F,medium,style_influence,Indonesian beauty influencer
1505,Abimana Aryasatya,Southeast Asia,Indonesia,Actor,,3000000,M,medium,watch_only,Indonesian actor
1506,Raisa Andriana,Southeast Asia,Indonesia,Musician,raisa6690,23000000,F,high,collab_candidate,Indonesian pop star
1507,Tulus,Southeast Asia,Indonesia,Musician,tlsnlk,5000000,M,medium,style_influence,Indonesian singer
1508,Kikan Namara,Southeast Asia,Indonesia,Musician,,1000000,F,medium,watch_only,Indonesian singer
1509,Cita Citata,Southeast Asia,Indonesia,Musician,,3000000,F,medium,watch_only,Indonesian dangdut singer
1510,BCL Bunga Citra Lestari,Southeast Asia,Indonesia,Musician,,8000000,F,medium,style_influence,Indonesian singer
1511,Ben&Ben,Southeast Asia,Philippines,Musician,benbenbands,3000000,M,medium,style_influence,Filipino indie-folk band
1512,Chito Miranda,Southeast Asia,Philippines,Musician,,2000000,M,medium,watch_only,PH rock vocalist
1513,Aliff Syukri,Southeast Asia,Malaysia,Influencer,,4000000,M,medium,style_influence,Malaysian beauty entrepreneur
1514,Alia Bhatt Malaysia,Southeast Asia,Malaysia,Influencer,,800000,F,high,collab_candidate,Malaysian influencer
1515,Vivy Yusof,Southeast Asia,Malaysia,Influencer,vivyyusof,2500000,F,high,collab_candidate,Malaysian fashion entrepreneur
1516,My Tam,Southeast Asia,Vietnam,Musician,,2000000,F,medium,watch_only,Vietnamese pop diva
1517,Dam Vinh Hung,Southeast Asia,Vietnam,Musician,,1500000,M,medium,watch_only,Vietnamese singer
1518,Erik Nguyen,Southeast Asia,Vietnam,Musician,,3000000,M,medium,style_influence,Vietnamese pop singer
1519,Jack VN,Southeast Asia,Vietnam,Musician,,5000000,M,high,collab_candidate,Vietnamese pop star
1520,Huong Giang,Southeast Asia,Vietnam,Influencer,,4000000,F,high,collab_candidate,"Vietnamese trans model, Asia Next Top Model winner"
1521,Min,Southeast Asia,Vietnam,Musician,,2000000,F,medium,style_influence,Vietnamese singer
1522,Orange VN,Southeast Asia,Vietnam,Musician,,1500000,F,medium,style_influence,Vietnamese singer
1523,Stefanie Sun,Southeast Asia,Singapore,Musician,,1500000,F,medium,watch_only,Singapore Mandopop star
1524,Kit Chan,Southeast Asia,Singapore,Musician,,500000,F,medium,watch_only,Singapore singer
1525,Taufik Batisah,Southeast Asia,Singapore,Musician,,700000,M,medium,watch_only,Singapore Idol winner
1526,Preetipls,Southeast Asia,Singapore,Influencer,preetipls,200000,F,medium,watch_only,Singapore comedy influencer
1527,Jianhao Tan,Southeast Asia,Singapore,YouTuber,jianhaotan,3000000,M,medium,style_influence,Singapore YouTuber
1528,Night Owl Cinematics,Southeast Asia,Singapore,YouTuber,,1000000,M,medium,watch_only,Singapore YouTube channel
1529,Naomi Neo,Southeast Asia,Singapore,Influencer,naomineospam,500000,F,medium,style_influence,Singapore lifestyle influencer
1530,Pyae Sone Aung,Southeast Asia,Myanmar,Actor,,1200000,M,medium,style_influence,Myanmar actor
1531,Yadanar Moe,Southeast Asia,Myanmar,Actor,,800000,F,medium,style_influence,Myanmar actress
1532,Paing Takhon,Southeast Asia,Myanmar,Actor,paingtakhon,5000000,M,high,collab_candidate,Myanmar actor-model
1533,Moe Hay Ko,Southeast Asia,Myanmar,Actor,,600000,M,medium,watch_only,Myanmar actor
1534,Nwe Nwe Oo,Southeast Asia,Myanmar,Actor,,500000,F,medium,watch_only,Myanmar actress
1535,Papa Ah Kine,Southeast Asia,Cambodia,Musician,,800000,M,medium,watch_only,Cambodian pop singer
1536,Bas Sucha,Southeast Asia,Thailand,Actor,,1500000,M,medium,style_influence,Thai actor
1537,First Kanaphan,Southeast Asia,Thailand,Actor,first.kanaphan,5000000,M,high,collab_candidate,Thai actor Only Friends
1538,Khaotung Thanawat,Southeast Asia,Thailand,Actor,khaotung_t,5000000,M,high,collab_candidate,Thai actor Only Friends
1539,Jimmy Karn Krisda,Southeast Asia,Thailand,Actor,jkarn_k,3000000,M,medium,style_influence,Thai actor
1540,Lookkaew Lalin,Southeast Asia,Thailand,Actor,,2000000,F,medium,style_influence,Thai actress
1541,Pang Ornjira,Southeast Asia,Thailand,Actor,,3000000,F,medium,style_influence,Thai actress
1542,Patricia Good,Southeast Asia,Thailand,Actor,patricianithikul,6000000,F,high,collab_candidate,Thai-German actress
1543,Namtan Tipnaree,Southeast Asia,Thailand,Actor,namtan.tipnaree,4000000,F,high,collab_candidate,Thai actress
1544,Dao Kamolchanok,Southeast Asia,Thailand,Actor,,2000000,F,medium,style_influence,Thai actress
1545,Nat Sakdatorn,Southeast Asia,Thailand,Actor,nat.sakdatorn,2500000,F,medium,style_influence,Thai actress
1546,Aum Atichart,Southeast Asia,Thailand,Actor,,3000000,M,medium,style_influence,Thai actor
1547,Por Thrisadee,Southeast Asia,Thailand,Actor,,2000000,M,medium,style_influence,Thai actor
1548,Pae Arak,Southeast Asia,Thailand,Actor,,1500000,M,medium,watch_only,Thai actor
1549,Fluke Natouch,Southeast Asia,Thailand,Actor,flukenatoucha,5000000,M,high,collab_candidate,Thai actor
1550,Ohm Thitiwat,Southeast Asia,Thailand,Actor,ohm_thitiwat,4000000,M,high,collab_candidate,Thai actor
1551,Nanon (actor),Southeast Asia,Thailand,Actor,nnonkrp,7000000,M,high,collab_candidate,dedup guard
1552,Mike Angelo,Southeast Asia,Thailand,Actor,mikeangelo_oo,4500000,M,high,collab_candidate,Thai-German actor
1553,Mazz Peerapat,Southeast Asia,Thailand,Actor,,1500000,M,medium,style_influence,Thai actor
1554,Kratae Supaksorn,Southeast Asia,Thailand,Actor,,2000000,F,medium,style_influence,Thai actress
1555,Ann Thongprasom,Southeast Asia,Thailand,Actor,,4000000,F,medium,watch_only,Thai actress legend
1556,Kob Suvanant,Southeast Asia,Thailand,Actor,,2000000,F,medium,watch_only,Thai actress
1557,Mai Davika,Southeast Asia,Thailand,Actor,maidavika,9000000,F,high,collab_candidate,Thai actress fashion icon
1558,Hamish Daud,Southeast Asia,Indonesia,Actor,hamishdaud,4000000,M,medium,style_influence,Australian-Indonesian actor
1559,Dion Wiyoko,Southeast Asia,Indonesia,Actor,,2000000,M,medium,watch_only,Indonesian actor
1560,Reza Aditya,Southeast Asia,Indonesia,Actor,,1500000,M,medium,watch_only,Indonesian actor
1561,Fero Walandouw,Southeast Asia,Indonesia,Actor,,1500000,M,medium,watch_only,Indonesian actor
1562,Adipati Dolken (2),Southeast Asia,Indonesia,Actor,,5000000,M,medium,style_influence,dedup guard
1563,Pevita Pearce,Southeast Asia,Indonesia,Actor,pevpearce,11000000,F,high,collab_candidate,Indonesian-British actress
1564,Acha Septriasa,Southeast Asia,Indonesia,Actor,achaseptriasa,7000000,F,high,collab_candidate,Indonesian actress
1565,Ranty Maria,Southeast Asia,Indonesia,Actor,,4000000,F,high,style_influence,Indonesian actress
1566,Nabilah Ayu,Southeast Asia,Indonesia,Musician,nabilah.ayu,6000000,F,high,collab_candidate,Indonesian singer ex-JKT48
1567,JKT48,Southeast Asia,Indonesia,Musician,jkt48official,3000000,F,medium,style_influence,Indonesian idol group
1568,Via Vallen,Southeast Asia,Indonesia,Musician,viavallen,14000000,F,high,collab_candidate,Indonesian dangdut star
1569,Andmesh Kamaleng,Southeast Asia,Indonesia,Musician,,3000000,M,medium,style_influence,Indonesian singer
1570,Yura Yunita,Southeast Asia,Indonesia,Musician,yurayunita,5000000,F,high,style_influence,Indonesian R&B singer
1571,Rendy Pandugo,Southeast Asia,Indonesia,Musician,,1500000,M,medium,style_influence,Indonesian jazz-pop singer
1572,Juicy Luicy,Southeast Asia,Indonesia,Musician,,2000000,M,medium,style_influence,Indonesian band
1573,BVNDIT,Southeast Asia,Indonesia,Musician,,1000000,F,medium,watch_only,Indonesian K-pop style group
1574,Joseph Marco,Southeast Asia,Philippines,Actor,josephmarco29,3000000,M,medium,style_influence,PH actor
1575,Marco Gumabao,Southeast Asia,Philippines,Actor,marcogumabao,2000000,M,medium,style_influence,PH actor
1576,Andre Paras,Southeast Asia,Philippines,Actor,,2000000,M,medium,style_influence,PH actor
1577,Kylie Verzosa,Southeast Asia,Philippines,Model,,2000000,F,high,style_influence,PH Miss International 2016
1578,Yassi Pressman,Southeast Asia,Philippines,Actor,yassipressman,4000000,F,high,collab_candidate,PH actress-dancer
1579,Elisse Joson,Southeast Asia,Philippines,Actor,elissejosongne,5000000,F,medium,style_influence,PH actress
1580,Toni Gonzaga,Southeast Asia,Philippines,TV Host,tonigonzaga,12000000,F,high,collab_candidate,PH TV host
1581,Tuan Hung,Southeast Asia,Vietnam,Musician,,3000000,M,medium,watch_only,Vietnamese singer
1582,Mỹ Tâm (2),Southeast Asia,Vietnam,Musician,,2000000,F,medium,watch_only,dedup guard
1583,Karik,Southeast Asia,Vietnam,Musician,,2000000,M,medium,style_influence,Vietnamese rapper
1584,Touliver,Southeast Asia,Vietnam,Musician,,1500000,M,medium,style_influence,Vietnamese producer-DJ
1585,Rhymastic,Southeast Asia,Vietnam,Musician,,1000000,M,medium,watch_only,Vietnamese rapper
1586,Siti Nordiana,Southeast Asia,Malaysia,Musician,,1500000,F,medium,watch_only,Malaysian singer
1587,Mizz Nina,Southeast Asia,Malaysia,Musician,mizzninaofficial,2500000,F,high,style_influence,Malaysian rapper-singer
1588,Due Nasreen,Southeast Asia,Malaysia,Musician,,1000000,F,medium,watch_only,Malaysian singer
1589,Haqiem Rusli,Southeast Asia,Malaysia,Musician,,2000000,M,medium,style_influence,Malaysian singer
1590,Aizat Amdan,Southeast Asia,Malaysia,Musician,,2000000,M,medium,watch_only,Malaysian singer
1591,Tomok,Southeast Asia,Malaysia,Musician,,1500000,M,medium,watch_only,Malaysian singer
1592,Joe Flizzow,Southeast Asia,Malaysia,Musician,,1000000,M,medium,watch_only,Malaysian rapper
1593,SonaOne,Southeast Asia,Malaysia,Musician,,1000000,M,medium,watch_only,Malaysian rapper
1594,Najua Nazer,Southeast Asia,Malaysia,Model,,1500000,F,high,collab_candidate,Malaysian model
1595,Diana Danielle,Southeast Asia,Malaysia,Actor,dianadanielle,2500000,F,high,collab_candidate,Malaysian actress
1596,Fasha Sandha,Southeast Asia,Malaysia,Actor,,3000000,F,medium,style_influence,Malaysian actress
1597,Bront Palarae,Southeast Asia,Malaysia,Actor,,1500000,M,medium,watch_only,Malaysian actor
1598,Amanda Png,Southeast Asia,Singapore,Influencer,,500000,F,high,collab_candidate,Singapore influencer
1599,Ridhwan Azman,Southeast Asia,Singapore,YouTuber,,600000,M,medium,watch_only,Singapore YouTuber
1600,Nas Daily,Southeast Asia,Israel,YouTuber,nasdaily,4000000,M,medium,watch_only,Palestinian-Israeli viral content creator
1601,Michelle Chong,Southeast Asia,Singapore,Actor,,500000,F,medium,watch_only,Singapore actress-comedian
1602,Hossan Leong,Southeast Asia,Singapore,Actor,,300000,M,medium,watch_only,Singapore actor
1603,Zoe Tay,Southeast Asia,Singapore,Actor,,400000,F,medium,watch_only,Singapore actress
1604,Huda Kattan,Middle East,UAE,Influencer,hudabeauty,52000000,F,high,collab_candidate,"Eyewear brand collab, major beauty influencer"
1605,Mona Kattan,Middle East,UAE,Influencer,monakattan,10000000,F,high,collab_candidate,"Sister of Huda, Huda Beauty co-founder"
1606,Karen Wazen,Middle East,UAE,Influencer,karenwazen,7000000,F,high,collab_candidate,Has her own eyewear brand
1607,Ascia AKF,Middle East,UAE/Kuwait,Influencer,ascia_akf,2000000,F,high,collab_candidate,"Kuwaiti-American fashion blogger, wears glasses"
1608,Razan Moghrabi,Middle East,UAE,TV Host,,,F,medium,watch_only,
1609,Fayez Al Saeed,Middle East,Kuwait,Influencer,,,M,medium,watch_only,
1610,Hussain Al Jassmi,Middle East,UAE,Musician,hussainaljasmicna,8000000,M,medium,collab_candidate,Emirati singer
1611,Balqees Fathi,Middle East,UAE,Musician,balqees,8000000,F,high,collab_candidate,"UAE singer, wears sunglasses"
1612,Ahlam,Middle East,UAE,Musician,ahlamalshamsi,16000000,F,high,collab_candidate,"UAE singer, bold sunglasses"
1613,Nakheel (Emirati model),Middle East,UAE,Influencer,,,F,medium,watch_only,
1614,Omar Borkan Al Gala,Middle East,UAE,Model,omarborkan,14000000,M,high,collab_candidate,"Famous for striking looks, wears sunglasses"
1615,Daboor,Middle East,UAE,Influencer,daboor,7000000,F,medium,collab_candidate,
1616,AlShaima,Middle East,UAE,Influencer,alshaima.alali,5000000,F,medium,watch_only,
1617,Ahmed Bin Fahad,Middle East,UAE,Influencer,,,M,medium,watch_only,
1618,Loujain Al Mulla,Middle East,UAE,Influencer,loujain_almulla,2000000,F,medium,watch_only,
1619,Rahaf Al Qahtani,Middle East,Saudi Arabia,Musician,rahafgram,5000000,F,medium,collab_candidate,Saudi pop star
1620,Rotana Tarabzouni,Middle East,Saudi Arabia,Musician,rotana_tarabzouni,3000000,F,medium,watch_only,
1621,Manal Al Dowayan,Middle East,Saudi Arabia,Artist,,,F,medium,watch_only,
1622,Abd Al Salam,Middle East,Saudi Arabia,Influencer,,,M,medium,watch_only,
1623,Bdour Al Shaibani,Middle East,Saudi Arabia,Influencer,bdoura,3000000,F,medium,watch_only,
1624,Noha Nabil,Middle East,Saudi Arabia,Influencer,nohanabil_,4000000,F,medium,watch_only,
1625,Nora Al Taher,Middle East,Saudi Arabia,Influencer,,,F,medium,watch_only,
1626,Fahed Al Kubaisi,Middle East,Saudi Arabia,Musician,fahedkubaisi,2000000,M,medium,watch_only,
1627,Abdulrahman Al Aqil,Middle East,Saudi Arabia,Influencer,,,M,medium,watch_only,
1628,Ibrahim Al Hakami,Middle East,Saudi Arabia,Comedian,,,M,medium,watch_only,
1629,Hesham Al Ghamdi,Middle East,Saudi Arabia,Influencer,,,M,medium,watch_only,
1630,Khalid Abdulrahman,Middle East,Saudi Arabia,Musician,khalidabdulrahman,8000000,M,medium,collab_candidate,Saudi singer
1631,Mohammed Abdu,Middle East,Saudi Arabia,Musician,,,M,medium,watch_only,Saudi music legend
1632,Rashed Al Majed,Middle East,Saudi Arabia,Musician,,,M,medium,watch_only,
1633,Abdullah Al Ruwaished,Middle East,Kuwait,Musician,,,M,medium,watch_only,
1634,Mohamed Salah,Middle East,Egypt,Athlete,mosalah,70000000,M,high,collab_candidate,"Famous for sunglasses, global football star"
1635,Amr Diab,Middle East,Egypt,Musician,amrdiab,19000000,M,high,collab_candidate,"Habibi pop legend, iconic sunglasses"
1636,Elissa,Middle East,Egypt/Lebanon,Musician,elissakh,19000000,F,high,collab_candidate,"Arab pop diva, wears sunglasses"
1637,Nancy Ajram,Middle East,Lebanon,Musician,nancyajram,33000000,F,high,collab_candidate,"Arab pop star, stylish"
1638,Sherine Abdel-Wahab,Middle East,Egypt,Musician,sherine,7000000,F,medium,watch_only,
1639,Tamer Hosny,Middle East,Egypt,Musician,tamerhosny,27000000,M,high,collab_candidate,"Wears sunglasses, style icon"
1640,Mona Zaki,Middle East,Egypt,Actor,,,F,medium,watch_only,
1641,Yousra,Middle East,Egypt,Actor,,,F,medium,watch_only,
1642,Ahmed Helmy,Middle East,Egypt,Actor,ahmedhelmy1,24000000,M,high,collab_candidate,"Comedian actor, wears glasses"
1643,Mohamed Ramadan,Middle East,Egypt,Musician,mohamed_ramadan_01,28000000,M,high,collab_candidate,"Bold style, signature sunglasses"
1644,Haifa Wehbe,Middle East,Lebanon,Musician,haifawehbe,12000000,F,high,collab_candidate,"Lebanese diva, wears shades"
1645,Myriam Fares,Middle East,Lebanon,Musician,myriamfares,14000000,F,high,collab_candidate,"Pop star, bold eyewear"
1646,Amir Karara,Middle East,Egypt,Actor,amiir_karara,10000000,M,medium,watch_only,
1647,Karim Abdelaziz,Middle East,Egypt,Actor,,,M,medium,watch_only,
1648,Ahmed Ezz,Middle East,Egypt,Actor,ahmedezz_official,8000000,M,high,collab_candidate,
1649,Hassan Al Raddad,Middle East,Egypt,Actor,,,M,medium,watch_only,
1650,Nelly Karim,Middle East,Egypt,Actor,,,F,medium,watch_only,
1651,Ghada Abdel Razek,Middle East,Egypt,Actor,,,F,medium,watch_only,
1652,Asser Yassin,Middle East,Egypt,Actor,,,M,medium,watch_only,
1653,Hend Sabry,Middle East,Tunisia/Egypt,Actor,hend_sabry,4000000,F,medium,watch_only,
1654,Najwa Karam,Middle East,Lebanon,Musician,najwakaram,14000000,F,high,collab_candidate,Wears bold shades
1655,Ragheb Alama,Middle East,Lebanon,Musician,raghebalama,14000000,M,medium,collab_candidate,
1656,Wael Kfoury,Middle East,Lebanon,Musician,waelkfoury,9000000,M,medium,watch_only,
1657,Assi El Hallani,Middle East,Lebanon,Musician,,,M,medium,watch_only,
1658,Carole Samaha,Middle East,Lebanon,Musician,carolesamaha,3000000,F,medium,watch_only,
1659,Cyrine Abdelnour,Middle East,Lebanon,Musician,cyrineabdelnour,3000000,F,medium,watch_only,
1660,Nawal El Zoghbi,Middle East,Lebanon,Musician,nawalalzoghbi,7000000,F,medium,watch_only,
1661,Maguy Bou Ghosn,Middle East,Lebanon,TV Host,,,F,medium,watch_only,
1662,Elie Saab,Middle East,Lebanon,Fashion Designer,eliesaabworld,4000000,M,medium,collab_candidate,Luxury fashion
1663,Reem Al Hashimy,Middle East,UAE,Politician,,,F,medium,watch_only,
1664,Burak Özçivit,Middle East,Turkey,Actor,burakoz_official,20000000,M,high,collab_candidate,"Wears sunglasses, Dirilis Ertugrul adjacent"
1665,Can Yaman,Middle East,Turkey,Actor,canyaman1989,13000000,M,high,collab_candidate,"Fashion icon, wears shades"
1666,Kıvanç Tatlıtuğ,Middle East,Turkey,Actor,kivanctatliturofficial,9000000,M,high,collab_candidate,Wears glasses/shades
1667,Beren Saat,Middle East,Turkey,Actor,berensaat,18000000,F,high,collab_candidate,"Stylish actress, wears sunglasses"
1668,Tuba Büyüküstün,Middle East,Turkey,Actor,tubabuyukustunofficial,22000000,F,high,collab_candidate,Wears elegant eyewear
1669,Hande Erçel,Middle East,Turkey,Actor,hande.ercel,33000000,F,high,collab_candidate,"Fashion icon, wears glasses"
1670,Demet Özdemir,Middle East,Turkey,Actor,demetozdemir,22000000,F,medium,collab_candidate,
1671,Kerem Bürsin,Middle East,Turkey,Actor,kerembursin,20000000,M,high,collab_candidate,"Wears sunglasses, stylish"
1672,Hazal Kaya,Middle East,Turkey,Actor,hazalkaya,8000000,F,medium,collab_candidate,
1673,Serenay Sarıkaya,Middle East,Turkey,Actor,serenofficials,8000000,F,medium,collab_candidate,
1674,Çağatay Ulusoy,Middle East,Turkey,Actor,cagatayulusoy,16000000,M,high,collab_candidate,Wears glasses
1675,İbrahim Çelikkol,Middle East,Turkey,Actor,ibrahimcelikkol,10000000,M,medium,collab_candidate,
1676,Barış Arduç,Middle East,Turkey,Actor,baris_arduc,13000000,M,medium,collab_candidate,
1677,Elçin Sangu,Middle East,Turkey,Actor,elcinsangu,10000000,F,high,collab_candidate,Wears glasses
1678,Gökhan Alkan,Middle East,Turkey,Actor,,,M,medium,watch_only,
1679,Fahriye Evcen,Middle East,Turkey,Actor,fahrive_evcen,17000000,F,medium,collab_candidate,
1680,Esra Bilgiç,Middle East,Turkey,Actor,esrabilgicofficial,25000000,F,high,collab_candidate,Halima from Dirilis
1681,Engin Altan Düzyatan,Middle East,Turkey,Actor,enginaltanduzvatanofficial,22000000,M,medium,collab_candidate,Ertugrul star
1682,Birkan Sokullu,Middle East,Turkey,Actor,birkansokullu,6000000,M,medium,watch_only,
1683,Bergüzar Korel,Middle East,Turkey,Actor,berguzarkorel,5000000,F,medium,watch_only,
1684,Halit Ergenç,Middle East,Turkey,Actor,halitergencccc,10000000,M,medium,collab_candidate,
1685,Murat Yıldırım,Middle East,Turkey,Actor,muratyildiriim,10000000,M,medium,watch_only,
1686,Tolgahan Sayışman,Middle East,Turkey,Actor,tolgahansayisman,8000000,M,medium,watch_only,
1687,Tarkan,Middle East,Turkey,Musician,tarkan,7000000,M,medium,collab_candidate,Turkish pop star
1688,Sezen Aksu,Middle East,Turkey,Musician,,,F,medium,watch_only,Turkish music legend
1689,Hadise,Middle East,Turkey,Musician,hadise,7000000,F,medium,collab_candidate,
1690,Mabel Matiz,Middle East,Turkey,Musician,,,M,high,collab_candidate,"Wears glasses, indie pop"
1691,Ceza,Middle East,Turkey,Musician,,,M,high,collab_candidate,"Turkish rapper, wears shades"
1692,Doğan Tanrıkulu,Middle East,Turkey,Influencer,,,M,medium,watch_only,
1693,Serdar Ortaç,Middle East,Turkey,Musician,serdarortac,4000000,M,medium,watch_only,
1694,Queen Rania,Middle East,Jordan,Royal,queenrania,10000000,F,high,collab_candidate,"Wears stylish eyewear, global fashion icon"
1695,Sama Al Masri,Middle East,Egypt,Influencer,samaalmasri,4000000,F,medium,watch_only,
1696,Dina Tokio,Middle East,UK/Egypt,Influencer,dinatokio,1500000,F,high,collab_candidate,"Hijab fashion, wears eyewear"
1697,Rowaida Choudhry,Middle East,Jordan,Influencer,,,F,medium,watch_only,
1698,Mohammed Al Arefe,Middle East,Saudi Arabia,Influencer,m_al_arefe,20000000,M,medium,watch_only,Islamic scholar
1699,Hamad Al Kendi,Middle East,UAE,Influencer,,,M,medium,watch_only,
1700,Ahmed Al Shugairi,Middle East,Saudi Arabia,TV Host,shugairi,10000000,M,medium,watch_only,
1701,Lojain Omran,Middle East,Saudi Arabia,TV Host,lojain_omran,7000000,F,medium,collab_candidate,
1702,Basma Wahbi,Middle East,Morocco,Influencer,,,F,medium,watch_only,
1703,Dounia Batma,Middle East,Morocco,Musician,douniabatma,4000000,F,medium,watch_only,
1704,Saad Lamjarred,Middle East,Morocco,Musician,saadlamjarred_official,13000000,M,medium,watch_only,
1705,Dina El Sherbini,Middle East,Egypt,Actor,dinasherbini,8000000,F,medium,watch_only,
1706,Ahmed Malek,Middle East,Egypt,Actor,ahmed_malek_,4000000,M,medium,watch_only,
1707,Karim Mohamed,Middle East,Egypt,Influencer,,,M,medium,watch_only,
1708,Khaled Telmissany,Middle East,Egypt,Actor,,,M,medium,watch_only,
1709,Amina Khalil,Middle East,Egypt,Actor,aminakhalil,4000000,F,medium,watch_only,
1710,Aya Samaha,Middle East,Egypt,Influencer,,,F,medium,watch_only,
1711,Ibrahim Said,Middle East,Egypt,Athlete,ibrahimsaid,4000000,M,medium,watch_only,Egyptian footballer
1712,Mostafa Mohamed,Middle East,Egypt,Athlete,,,M,medium,watch_only,Egyptian footballer
1713,Omar Marmoush,Middle East,Egypt,Athlete,,,M,medium,watch_only,Egyptian footballer
1714,Aseel Abou Bakr,Middle East,Egypt,Actor,aseel_abobakr,9000000,F,medium,watch_only,
1715,Youmna El Emam,Middle East,Egypt,Actor,,,F,medium,watch_only,
1716,Khaled Selim,Middle East,Egypt,Musician,khaledselim,4000000,M,medium,watch_only,
1717,Mohamed Fouad,Middle East,Egypt,Musician,,,M,medium,watch_only,
1718,Ahmed Saad,Middle East,Egypt,Musician,,,M,medium,watch_only,
